ID_Klijenta,Odobreni_Iznos_EUR,Mjesečna_Primanje_EUR,Trenutni_Dug_EUR,Starost_Klijenta,Staž_Godine,Godine_Kreditne_Povijesti,Broj_članova_Kućanstva,Stambeni_Status,Obrazovanje,Omjer_Dug_Primanja,Omjer_Kredit_Primanja,Rizik
1001,94934.28,5897.21,45000.0,26.0,8.0,6.0,2.0,podstanar,SSS,7.630727072632651,16.098168455930857,1
1002,82234.71,5466.71,45000.0,34.0,13.0,14.0,3.0,podstanar,SSS,8.231642066251913,15.042815514267266,1
1003,97953.77,9539.26,45000.0,30.0,11.0,10.0,2.0,podstanar,VSS,4.717347047884218,10.268487283080658,0
1004,115460.6,9433.69,39059.44,37.0,17.0,17.0,4.0,podstanar,VSS,4.1404201325250245,12.2391768226431,1
1005,80316.93,4671.03,45000.0,24.0,6.0,4.0,2.0,podstanar,SSS,9.633849493580646,17.194693675698936,1
1006,80317.26,5650.77,45000.0,37.0,18.0,1.0,1.0,vlasnik,SSS,7.963516476515589,14.213507185746366,1
1007,116584.26,9420.09,40204.15,35.0,16.0,15.0,3.0,podstanar,VSS,4.267915699319221,12.376130164361486,1
1008,100348.69,6374.97,33795.05,26.0,8.0,5.0,2.0,vlasnik,SSS,5.301209260592599,15.741045055898303,1
1009,75610.51,4796.56,45000.0,42.0,17.0,24.0,5.0,podstanar,SSS,9.381723568557465,15.763486748836664,1
1010,95851.2,6706.74,45000.0,44.0,23.0,4.0,1.0,podstanar,SSS,6.709668184542714,14.291772157560901,1
1011,75731.65,8060.09,45000.0,24.0,6.0,3.0,4.0,podstanar,VSS,5.583064208960446,9.395881435567096,0
1012,75685.4,7342.91,45000.0,35.0,12.0,15.0,4.0,vlasnik,VSS,6.128360554603011,10.307275998207794,1
1013,89839.25,6996.79,45000.0,25.0,7.0,1.0,1.0,vlasnik,VSS,6.43152074022516,12.840066659139405,1
1014,46734.4,4714.97,45000.0,28.0,9.0,8.0,2.0,podstanar,VSS,9.544069209348097,9.911918845719061,1
1015,50501.64,3327.24,45000.0,43.0,17.0,2.0,4.0,vlasnik,SSS,13.52472319399863,15.178237818732644,1
1016,73754.25,4627.39,45000.0,27.0,9.0,5.0,1.0,podstanar,SSS,9.724704423011675,15.938628470909086,1
1017,64743.38,5575.81,45000.0,32.0,11.0,12.0,1.0,podstanar,VSS,8.070576292951158,11.611475283411735,1
1018,91284.95,6433.75,45000.0,25.0,5.0,5.0,1.0,vlasnik,SSS,6.994365649893141,14.188451525160287,1
1019,66839.52,4197.12,45000.0,30.0,12.0,7.0,3.0,vlasnik,SSS,10.72163769441903,15.925091491308327,1
1020,56753.93,5239.55,45000.0,31.0,11.0,11.0,1.0,podstanar,VSS,8.588523823610807,10.831832886412,1
1021,114312.98,8705.83,45000.0,36.0,10.0,16.0,1.0,podstanar,SSS,5.168950002469609,13.13062396118463,1
1022,80484.47,6153.79,45000.0,38.0,15.0,18.0,3.0,vlasnik,VSS,7.312566727171386,13.078845719467191,1
1023,86350.56,6330.78,45000.0,49.0,16.0,13.0,3.0,vlasnik,VSS,7.1081288561599045,13.639797939590382,1
1024,56505.04,5658.8,45000.0,32.0,5.0,12.0,7.0,vlasnik,VSS,7.952216017530218,9.985339647981904,1
1025,74112.35,4601.5,45000.0,18.0,0.0,11.435871743486974,2.0,vlasnik,SSS,9.779419754427904,16.106128436379443,1
1026,87218.45,5655.44,45000.0,37.0,16.0,15.0,2.0,podstanar,SSS,7.956940574031376,15.422044969091708,1
1027,61980.13,5241.43,45000.0,53.0,20.0,14.0,2.0,podstanar,VSS,8.585443285515593,11.825042020975191,1
1028,92513.96,9037.7,45000.0,47.0,22.0,6.0,3.0,podstanar,VSS,4.979142923531429,10.23644953915266,0
1029,72987.23,5665.08,45000.0,37.0,11.0,14.0,9.0,podstanar,SSS,7.943400622762609,12.883706849682616,1
1030,79166.13,8678.81,45000.0,29.0,11.0,9.0,1.0,vlasnik,VSS,5.185042649856374,9.121772454979428,0
1031,72965.87,6795.5,45000.0,43.0,18.0,5.0,2.0,podstanar,VSS,6.622029284085056,10.737380619527627,1
1032,122045.56,8928.26,33706.12,31.0,13.0,11.0,2.0,podstanar,VSS,3.775217119573131,13.66957951493348,1
1033,84730.06,6695.73291584802,45000.0,40.0,22.0,16.0,1.0,podstanar,SSS,6.720698176817992,12.654336883637312,1
1034,63845.78,6695.73291584802,45000.0,40.0,19.0,3.0,1.0,podstanar,SSS,6.720698176817992,9.535293716522723,1
